commit	page	score_before	score_after	status	description
0ccd90e	/blog/ai-vs-human-receptionist	0	10	keep	Added FAQPage JSON-LD schema + 4 question H3s FAQ section
0ccd90e	/blog/is-ai-receptionist-worth-it	0	10	keep	Added FAQPage JSON-LD schema + 4 question H3s FAQ section
0ccd90e	/blog/how-ai-receptionist-works	0	10	keep	Added FAQPage JSON-LD schema + 4 question H3s FAQ section
0ccd90e	/blog/ai-receptionist-cost-pricing	0	10	keep	Added FAQPage JSON-LD schema + 4 question H3s FAQ section
0ccd90e	/blog/speed-to-lead-local-business	0	10	keep	Added FAQPage JSON-LD schema + 4 question H3s FAQ section
0ccd90e	/blog/best-ai-receptionist-tools	0	10	keep	Added FAQPage JSON-LD schema + 4 question H3s FAQ section
0ccd90e	/blog/complete-guide-to-seo	0	10	keep	Added FAQPage JSON-LD schema + 4 question H3s FAQ section
0ccd90e	/blog/ai-phone-answering-dentists	0	10	keep	Added FAQPage JSON-LD schema + 4 question H3s FAQ section
0ccd90e	/blog/ai-phone-answering-plumbers	0	10	keep	Added FAQPage JSON-LD schema + 4 question H3s FAQ section
0ccd90e	/blog/best-after-hours-answering-service	0	10	keep	Added FAQPage JSON-LD + BreadcrumbList schemas + 4 question H3s FAQ section
0ccd90e	/blog/best-ai-receptionist-small-business	0	10	keep	Added FAQPage JSON-LD schema + 4 question H3s FAQ section
